DATE      ,EXPIRY DATE ,OPTION TYPE ,STRIKE PRICE ,OPEN PRICE  ,HIGH PRICE  ,LOW PRICE   ,CLOSE PRICE ,LAST PRICE  ,SETTLE PRICE ,VOLUME      ,VALUE                  ,PREMIUM VALUE          ,OPEN INTEREST ,CHANGE IN OI
30-Jan-25,30-Jan-25,XX,-,"23,150.00","23,310.00","23,120.00","23,235.10","23,249.00","23,249.50","67,31,025","1,56,33,91,14,140.00","1,56,33,91,14,140.00","43,10,725","-20,57,225"
29-Jan-25,30-Jan-25,XX,-,"23,034.00","23,185.50","22,963.70","23,148.25","23,176.90","23,148.25","74,53,075","1,72,23,38,64,695.00","1,72,23,38,64,695.00","63,67,950","-26,01,550"
28-Jan-25,30-Jan-25,XX,-,"22,948.00","23,158.45","22,871.00","22,977.70","22,990.00","22,977.70","80,99,175","1,86,30,62,33,771.25","1,86,30,62,33,771.25","89,69,500","-28,34,650"
27-Jan-25,30-Jan-25,XX,-,"22,972.00","23,028.90","22,809.00","22,846.45","22,831.65","22,846.45","60,48,900","1,38,50,54,88,468.75","1,38,50,54,88,468.75","1,18,04,150","-14,05,800"
24-Jan-25,30-Jan-25,XX,-,"23,275.10","23,375.00","23,071.45","23,113.90","23,114.00","23,113.90","68,87,100","1,59,90,43,63,052.50","1,59,90,43,63,052.50","1,32,09,950","-4,27,100"
23-Jan-25,30-Jan-25,XX,-,"23,150.00","23,319.85","23,126.90","23,263.70","23,267.00","23,263.70","40,30,550","93,73,49,24,443.75","93,73,49,24,443.75","1,36,37,050","-4,48,275"
22-Jan-25,30-Jan-25,XX,-,"23,164.00","23,219.90","23,020.00","23,198.95","23,198.00","23,198.95","52,94,425","1,22,45,59,28,335.00","1,22,45,59,28,335.00","1,40,85,325","-4,87,275"
21-Jan-25,30-Jan-25,XX,-,"23,424.95","23,460.65","23,051.65","23,103.20","23,105.10","23,103.20","97,10,850","2,25,74,61,35,655.00","2,25,74,61,35,655.00","1,45,72,600","4,38,850"
20-Jan-25,30-Jan-25,XX,-,"23,339.95","23,449.00","23,220.00","23,400.20","23,393.00","23,400.20","40,92,800","95,60,36,44,996.25","95,60,36,44,996.25","1,41,33,750","1,01,600"
17-Jan-25,30-Jan-25,XX,-,"23,344.90","23,353.80","23,150.10","23,267.20","23,261.75","23,267.20","54,59,700","1,26,97,72,30,266.25","1,26,97,72,30,266.25","1,40,32,150","5,31,300"
16-Jan-25,30-Jan-25,XX,-,"23,406.00","23,423.90","23,346.15","23,377.55","23,406.90","23,377.55","42,79,950","1,00,08,56,54,508.75","1,00,08,56,54,508.75","1,35,00,850","-35,450"
15-Jan-25,30-Jan-25,XX,-,"23,302.05","23,345.00","23,201.00","23,265.90","23,275.95","23,265.90","35,94,750","83,64,98,89,981.25","83,64,98,89,981.25","1,35,36,300","-2,17,550"
14-Jan-25,30-Jan-25,XX,-,"23,248.00","23,339.00","23,198.45","23,271.75","23,280.00","23,271.75","48,67,475","1,13,24,12,66,576.25","1,13,24,12,66,576.25","1,37,53,850","-1,13,075"
13-Jan-25,30-Jan-25,XX,-,"23,400.00","23,408.30","23,112.10","23,162.10","23,168.05","23,162.10","69,69,550","1,62,05,16,06,322.50","1,62,05,16,06,322.50","1,38,66,925","3,23,600"
10-Jan-25,30-Jan-25,XX,-,"23,625.05","23,684.90","23,430.00","23,500.65","23,515.00","23,500.65","65,42,575","1,54,12,07,82,633.75","1,54,12,07,82,633.75","1,35,43,325","-97,875"
09-Jan-25,30-Jan-25,XX,-,"23,759.00","23,759.00","23,612.90","23,648.10","23,671.10","23,648.10","45,73,775","1,08,23,42,05,651.25","1,08,23,42,05,651.25","1,36,41,200","7,13,625"
08-Jan-25,30-Jan-25,XX,-,"23,800.00","23,839.00","23,593.30","23,781.35","23,776.35","23,781.35","59,47,575","1,41,10,45,43,222.50","1,41,10,45,43,222.50","1,29,27,575","2,76,475"
07-Jan-25,30-Jan-25,XX,-,"23,800.20","23,890.00","23,738.75","23,795.05","23,785.45","23,795.05","42,50,825","1,01,26,73,14,671.25","1,01,26,73,14,671.25","1,26,51,100","2,11,900"
06-Jan-25,30-Jan-25,XX,-,"24,145.10","24,150.00","23,660.00","23,721.05","23,730.00","23,721.05","95,34,850","2,27,53,85,36,041.25","2,27,53,85,36,041.25","1,24,39,200","-1,69,425"
